ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Income_Level,Tech_Savviness,Preferred_Channel,Lifestyle,Annual_Transactions,Avg_Basket_Value,Loyalty_Score
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,2500.0,66.0,Online,Active,38,24.49822277564538,64.55
467010,Male,No,26,No,Homemaker,9.0,Low,,Cat_6,2200.0,67.0,In-Store,Adventurous,27,9.649141537465725,48.17
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,4500.0,49.0,In-Store,Family-Oriented,62,66.08597069164075,80.44
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,5500.0,59.0,Online,Active,33,34.01409966776536,66.89
465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,3000.0,61.0,In-Store,Health-Conscious,35,11.933822933042766,56.2
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,2300.0,59.0,In-Store,Active,60,26.359768654969404,71.94
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,3600.0,73.0,Online,Active,29,29.367437718351262,54.99
467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,4500.0,67.0,Online,Relaxed,53,36.490465984274195,60.21
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,4400.0,68.0,Online,Family-Oriented,40,36.45424549295976,65.05
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,2700.0,79.0,Online,Adventurous,40,12.550294581652738,50.63
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,4300.0,60.0,Online,Adventurous,34,24.820221274144366,54.46
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,4300.0,49.0,Online,Family-Oriented,36,31.784141492329372,70.11
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,2300.0,71.0,Online,Family-Oriented,45,25.0391816117518,64.22
463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,3900.0,44.0,In-Store,Family-Oriented,61,59.8448217726329,80.42
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,3900.0,57.0,In-Store,Family-Oriented,68,38.03312534261555,76.0
462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,6300.0,64.0,In-Store,Active,31,56.98408784847577,68.71
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,3300.0,71.0,Online,Active,39,26.864249589401837,60.61
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,8000.0,73.0,Online,Family-Oriented,43,65.77970055846026,75.7
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,4000.0,52.0,In-Store,Relaxed,40,26.402624747464493,57.76
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,4100.0,69.0,Online,Family-Oriented,72,33.63018744582703,79.79
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,4200.0,80.0,Online,Family-Oriented,46,17.17078464181578,54.6
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,7100.0,56.0,In-Store,Relaxed,45,80.44897525039586,76.53
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,4300.0,49.0,In-Store,Relaxed,22,24.76146584577975,53.96
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,4500.0,67.0,In-Store,Family-Oriented,75,45.46266396814364,87.64
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,5500.0,71.0,Social Media,Active,32,49.48103860010428,64.14
462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,3000.0,72.0,Online,Family-Oriented,48,18.24648693730597,58.95
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,4300.0,59.0,In-Store,Family-Oriented,64,44.06216326061518,71.44
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,9800.0,45.0,In-Store,Family-Oriented,30,90.15856151093121,66.61
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,4600.0,58.0,Online,Family-Oriented,66,52.01457925886254,76.25
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,4800.0,63.0,Online,Family-Oriented,64,51.21027995989042,70.88
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,9300.0,51.0,In-Store,Family-Oriented,68,159.74028350677435,100.0
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,8400.0,64.0,In-Store,Relaxed,67,142.73812923008194,100.0
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,9300.0,46.0,In-Store,Relaxed,58,159.61532403615732,100.0
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,6400.0,100.0,Online,Adventurous,39,51.673817864528246,59.48
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,3900.0,66.0,In-Store,Family-Oriented,71,44.65392610137362,71.72
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,3700.0,73.0,Online,Active,42,20.678236467147194,59.35
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,4700.0,49.0,In-Store,Relaxed,47,48.76262462965659,77.81
467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,3700.0,70.0,In-Store,Health-Conscious,78,65.35036355090786,86.84
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,6300.0,61.0,Online,Active,31,46.928592267013585,65.17
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,7400.0,71.0,Online,Relaxed,55,87.3497204232403,88.82
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,3200.0,61.0,In-Store,Family-Oriented,69,26.34598664170332,69.75
460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,4000.0,57.0,In-Store,Family-Oriented,38,18.50850813893058,57.97
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,3300.0,55.0,In-Store,Family-Oriented,54,36.18068886257197,68.01
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,3700.0,72.0,Online,Family-Oriented,44,26.030431562356277,66.6
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,4300.0,75.0,Online,Family-Oriented,49,39.154923439628114,59.13
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,3600.0,57.0,In-Store,Family-Oriented,40,19.50217198502777,58.0
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,8300.0,77.0,Online,Family-Oriented,72,99.59476760855685,92.96
466567,Female,No,49,Yes,,1.0,Low,1.0,Cat_6,3900.0,68.0,In-Store,Family-Oriented,41,30.731598516349937,58.6
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,2900.0,70.0,In-Store,Adventurous,29,14.820754335584752,44.75
463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,3400.0,59.0,In-Store,Adventurous,36,24.25388108402602,66.95
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,5300.0,54.0,In-Store,Relaxed,23,31.38143873433568,54.87
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,3200.0,75.0,Online,Health-Conscious,56,28.670452255090243,61.49
462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,2400.0,74.0,Online,Active,40,18.012818390074006,55.69
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,2600.0,57.0,Online,Family-Oriented,39,13.596039959213524,50.18
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,4800.0,66.0,In-Store,Family-Oriented,62,55.436326183456075,78.31
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,4700.0,68.0,Online,Family-Oriented,48,32.358705974491784,65.13
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,3000.0,70.0,In-Store,Family-Oriented,38,26.78348162663964,62.35
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,3300.0,65.0,Online,Family-Oriented,71,29.001374037778884,73.15
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,6500.0,83.0,Online,Health-Conscious,38,46.44382707882551,69.0
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,4700.0,60.0,Online,Family-Oriented,63,48.769561918117226,79.21
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,4700.0,45.0,In-Store,Relaxed,51,54.874161302535,73.9
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,2600.0,88.0,Online,Family-Oriented,52,10.411216808179457,54.48
467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,3600.0,59.0,Online,Relaxed,30,16.629761250530162,49.36
463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6,4000.0,50.0,In-Store,Family-Oriented,56,43.91247931125581,75.55
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,4200.0,57.0,Online,Family-Oriented,37,24.306578328527067,62.47
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,4700.0,64.0,In-Store,Relaxed,65,71.24668901860811,80.79
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,5000.0,63.0,In-Store,Relaxed,42,63.8963519488978,73.35
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,2800.0,80.0,In-Store,Adventurous,64,25.243447830792586,77.35
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,4100.0,46.0,In-Store,Relaxed,40,48.37325132751894,75.29
466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,3400.0,44.0,In-Store,Family-Oriented,72,40.56278867041346,85.14
462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,3400.0,52.0,In-Store,Relaxed,28,19.78615290035069,54.49
463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,2800.0,76.0,Online,Family-Oriented,104,42.28108744711055,94.13
464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,6300.0,64.0,Online,Family-Oriented,44,48.45829301958125,60.51
462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,3000.0,72.0,Social Media,Adventurous,34,27.538634223790453,57.37
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,4900.0,69.0,Online,Active,38,37.44147697028311,59.13
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,3800.0,55.0,In-Store,Relaxed,20,21.277955001215883,57.11
466466,Female,,19,No,Healthcare,6.0,Low,5.0,Cat_3,3200.0,80.0,Social Media,Active,39,14.940391899497769,43.18
460185,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,3200.0,78.0,Online,Active,31,19.92457366549792,51.31
459749,Male,Yes,59,Yes,Entertainment,,Low,4.0,Cat_4,6300.0,65.0,In-Store,Relaxed,32,54.2188023930674,65.18
464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,4400.0,73.0,In-Store,Family-Oriented,43,34.07163405745622,67.02
467758,Female,Yes,50,Yes,Doctor,1.0,Low,,Cat_6,4800.0,41.0,In-Store,Family-Oriented,31,45.86732015442011,55.06
462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,5900.0,60.0,In-Store,Family-Oriented,36,40.34913281796341,67.33
467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,4700.0,57.0,In-Store,Family-Oriented,89,95.40968326624034,100.0
461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,3400.0,75.0,In-Store,Family-Oriented,72,42.85624723206059,73.65
460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,3900.0,51.0,In-Store,Family-Oriented,28,27.60350659307279,51.76
465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,3600.0,64.0,Online,Family-Oriented,43,20.185004720283214,59.76
465827,Male,No,27,No,,2.0,Low,7.0,Cat_4,3100.0,74.0,In-Store,Active,38,18.39483062703268,62.24
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,4200.0,73.0,Online,Health-Conscious,81,46.04108529060786,79.59
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,4900.0,59.0,Online,Family-Oriented,87,87.8676205858954,88.14
461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,2800.0,67.0,Online,Family-Oriented,90,32.164608251634974,87.21
464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,3800.0,73.0,In-Store,Health-Conscious,52,32.06276737632472,72.62
461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,5100.0,62.0,Online,Active,36,34.52541439306034,65.48
462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,3300.0,77.0,Online,Family-Oriented,47,16.00566331144409,61.66
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,4100.0,66.0,Online,Active,37,19.266241473382976,62.79
466295,Female,Yes,42,No,Engineer,0.0,Low,,Cat_6,2500.0,71.0,Online,Family-Oriented,39,17.339760443085833,54.44
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,5200.0,56.0,In-Store,Relaxed,45,45.19782434870153,71.55
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,8100.0,84.0,Online,Adventurous,40,65.29461441913315,58.56
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,6300.0,86.0,Online,Family-Oriented,48,51.61144311301302,66.49
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,3700.0,77.0,Online,Family-Oriented,109,68.10083183106174,100.0
466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,9800.0,51.0,In-Store,Relaxed,52,162.99069000559328,100.0
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,2700.0,54.0,Social Media,Active,32,22.41678828995902,50.96
459478,Male,Yes,46,Yes,Artist,,Low,1.0,Cat_6,4300.0,66.0,Online,Family-Oriented,44,38.886610283262584,61.61
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,8700.0,65.0,Online,Family-Oriented,89,137.8478796694768,100.0
459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,4000.0,67.0,Online,Adventurous,29,42.730881536597494,63.4
459390,Female,No,41,No,Artist,,Low,2.0,Cat_6,2900.0,58.0,Online,Family-Oriented,34,20.833825688057715,46.4
460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,3800.0,66.0,In-Store,Family-Oriented,44,30.012712481368435,61.35
463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,3100.0,75.0,Online,Active,41,12.802362045202347,66.26
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,3400.0,65.0,Online,Family-Oriented,45,19.155452566780827,61.55
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,8000.0,77.0,Online,Family-Oriented,70,97.86703255146034,93.25
459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,4700.0,60.0,Online,Family-Oriented,61,40.24893659793825,73.08
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,3300.0,76.0,Online,Family-Oriented,48,24.62889484480109,63.77
465656,Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6,4100.0,52.0,In-Store,Relaxed,26,31.051739304704984,60.73
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,3000.0,63.0,Online,Family-Oriented,70,33.55732884219949,76.73
461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,3500.0,61.0,In-Store,Adventurous,28,29.727035918473423,55.64
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,2600.0,73.0,Online,Active,62,29.635722910573374,67.58
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,9500.0,46.0,In-Store,Relaxed,23,88.11357627931058,72.5
467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,6200.0,73.0,Online,Adventurous,33,46.63405457654882,69.03
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,5600.0,44.0,In-Store,Relaxed,33,52.70456131778977,64.42
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,3300.0,48.0,In-Store,Relaxed,50,46.60084448989206,64.08
467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,3400.0,74.0,In-Store,Adventurous,36,28.523510203999876,55.47
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,8400.0,61.0,In-Store,Family-Oriented,61,101.36067950027109,94.67
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,4400.0,64.0,In-Store,Family-Oriented,68,40.56285631892449,81.96
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,6200.0,68.0,In-Store,Adventurous,37,56.61868155812992,69.33
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,4000.0,61.0,Online,Family-Oriented,31,30.31698316682818,60.1
465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,4700.0,51.0,In-Store,Family-Oriented,35,31.886549149377263,58.81
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,4600.0,53.0,In-Store,Family-Oriented,59,43.2596792456391,71.46
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,9500.0,51.0,In-Store,Family-Oriented,64,156.7154037199357,100.0
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,4600.0,79.0,Online,Family-Oriented,79,39.57907584474244,73.0
465710,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,4200.0,58.0,Online,Family-Oriented,40,29.217982680133133,49.93
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,6300.0,77.0,Social Media,Active,39,41.27470240901062,56.56
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,3200.0,65.0,In-Store,Health-Conscious,55,38.51114859228489,69.91
463595,Female,No,32,No,Healthcare,1.0,Low,5.0,,2800.0,56.0,Online,Health-Conscious,38,11.945082553111282,54.58
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,5300.0,39.0,In-Store,Family-Oriented,46,68.62436432329636,74.93
465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,4600.0,60.0,In-Store,Family-Oriented,65,36.47662946577768,75.69
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,5200.0,65.0,Online,Family-Oriented,66,55.617689583377064,82.66
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,4900.0,69.0,Online,Family-Oriented,47,35.41351633376233,62.88
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,4300.0,79.0,Online,Family-Oriented,44,27.281849053016938,66.37
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,3100.0,40.0,In-Store,Family-Oriented,43,22.727562599425468,58.33
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,3800.0,72.0,Online,Health-Conscious,30,30.69944059117429,69.92
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,4600.0,41.0,In-Store,Relaxed,43,82.92927824747916,75.82
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,9700.0,48.0,In-Store,Relaxed,22,96.30823833315014,62.25
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,4500.0,68.0,In-Store,Family-Oriented,42,24.97141919588364,64.02
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,9500.0,49.0,In-Store,Family-Oriented,70,162.3209853781099,100.0
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,4900.0,65.0,Online,Family-Oriented,66,47.83830328008651,72.31
464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,2600.0,84.0,Social Media,Adventurous,40,16.637016095175213,58.5
461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,3200.0,65.0,Online,Active,39,10.243749577489709,58.98
467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,2400.0,77.0,Online,Active,36,18.498714769129453,62.75
463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,9200.0,77.0,Online,Health-Conscious,43,82.9240116220027,73.9
466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,4700.0,89.0,Online,Family-Oriented,78,47.12018384874624,77.99
462594,Male,Yes,52,No,Entertainment,,Average,5.0,Cat_4,3000.0,74.0,Online,Relaxed,52,30.63691306244685,70.15
462206,Female,No,29,Yes,Artist,,Low,1.0,Cat_4,3600.0,67.0,In-Store,Active,31,21.761058174266367,49.03
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,4200.0,60.0,Online,Family-Oriented,72,42.88801470447632,73.73
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,4100.0,61.0,Online,Family-Oriented,38,30.553791700297324,59.4
460054,Male,Yes,38,Yes,Artist,,Low,2.0,Cat_6,4900.0,66.0,In-Store,Family-Oriented,42,29.113885169485005,60.75
459576,Female,Yes,85,No,Lawyer,,Low,,,3800.0,53.0,In-Store,Relaxed,22,21.389990914598123,46.42
467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,2600.0,83.0,Online,Active,45,19.16774685231169,57.99
467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,2400.0,80.0,Online,Family-Oriented,77,23.726443066247143,72.07
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,3700.0,72.0,Online,Family-Oriented,45,19.8252458834928,59.86
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,4700.0,61.0,In-Store,Relaxed,46,41.44970317400262,65.65
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,4800.0,60.0,Online,Family-Oriented,38,37.11678665007378,56.26
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,3400.0,60.0,Online,Family-Oriented,36,35.775135914836966,60.63
467539,Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7,3700.0,64.0,In-Store,Family-Oriented,67,32.24909085839701,76.44
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,4700.0,52.0,In-Store,Family-Oriented,33,33.58721855699764,64.32
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,4600.0,60.0,In-Store,Family-Oriented,66,74.40856527304928,74.18
463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,3500.0,62.0,In-Store,Family-Oriented,67,38.29173468762336,74.45
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,5000.0,54.0,In-Store,Family-Oriented,86,64.05521461712651,83.1
